Id Instructor,Grado Académico,Catálogo,Curso,Nº Clase,Nombre Catalogo,Modo de Enseñanza,Fecha Inicio real,Fecha Fin real,Centro de Costos,Nota final por curso,Competencia Evaluada,Nota competencia por clase,Nota final por clase,Pregunta,Calificación Pregunta,Comentarios,Total Evaluaciones generadas,Evaluaciones realizadas,% de participación
1000096395.0,PREG,    PS0301,,,,Presencial,2024-01-24,2024-05-22,Depto. de Psicología,4.39,,0.0,4.39,Menciona un aspecto a mejorar del desempeño de tu profe en el aula,0.0,la practica de los temas,24.0,24.0,100.0
1000096395.0,PREG,    PS0301,,1383.0,Análisis Descriptivo de Datos,Pcsaielenr,,,Depto. de Psicología,4.39,Comentarios,0.0,50.0,Menciona un aspecto a mejorar del desempeño de tu profe en el aula,0.0,No sé en ocurre ninguna,24.0,24.0,
1000096395.0,PREG,,1317080.0,1383.0,,Presencial,2024-01-24,2024-05-22,Depto. de Psicología,4.39,Comentarios,0.0,4.39,Menciona un aspecto positivo del desempeño de tu profe en el aula,,Su buen sentido del humor a veces facilita la compresión de los temas.,24.0,24.0,100.0
,PREG,    PS0302,125596.0,1384.0,El Objeto de la Psicología,Presencial,,2024-05-20,Depto. de Psicología,4.57,Comentarios,0.0,4.57,Menciona un aspecto a mejorar del desempeño de tu profe en el aula,0.0,retroalimentar al final de la clase,,22.0,
1000004552.0,PREG,    PS0302,125596.0,1384.0,El Objeto de la Psicología,Presencial,2024-01-22,2024-05-20, de ocgDtlíPspai.oeo,4.57,Comentarios,0.0,4.57,tjloomd e car rum lerausuca ee nf  eeanepdMen saoañtiepn pod eleo ,0.0,Podría evaluar la forma de dictar la clase para no hacerla tan lenta y aburrida,22.0,22.0,100.0
1000265727.0,PREG,    PS0303,125597.0,1385.0,Psicología General I,Presencial,2024-01-26,2024-05-24,Depto. de Psicología,4.8,Comentarios,0.0,4.8,Menciona un aspecto a mejorar del desempeño de tu profe en el aula,0.0,No,29.0,28.0,96.55
1000265727.0,PREG,    PS0303,125597.0,64620.0,Psicología General I,Presencial,2024-01-26,2024-05-24,Depto. de Psicología,50.0,Comentarios,0.0,4.8,Menciona un aspecto positivo del desempeño de tu profe en el aula,0.0,Explica muy bien los temas,29.0,28.0,96.55
1000265727.0,PREG,P30   0 3S,125597.0,1385.0,Psicología General I,Presencial,2024-01-26,2024-05-24,Depto. de Psicología,4.8,rCoosaitenm,0.0,4.8,Menciona un aspecto positivo del desempeño de tu profe en el aula,0.0,La profe es muy querida,29.0,350.0,96.55
1000094832.0,,    PS0304,125598.0,1391.0,Psicología General II,Presencial,2024-01-25,2024-05-23,Depto. de Psicología,4.73,Comentarios,,4.73,,0.0,"Que sea más organizado, cumpla con lo que dijo en clase",31.0,31.0,100.0
1000094832.0,PREG,    PS0304,125598.0,1391.0,íe r igIaPolnoIcesalG,Presencial,2024-01-25,2024-05-23,Depto. de Psicología,4.73,osrtmneaCio,0.0,4.73,enlu l srdlooe meatoemj see reppecfnnten Maupr aodñ o  ae aacieud ,0.0,El profesor usualmente no manda las presentaciones para que los estudiantes las puedan estudiar.,31.0,31.0,100.0
